Maturity;Rates;ZCB
0;4,971;1
0,25;4,9709694;0,987649478
0,5;4,9397886;0,97560358
1;4,7159916;0,953934836
1,5;4,550544;0,934019316
2;4,5640906;0,912760448
2,5;4,5489599;0,892504255
3;4,5172794;0,87326311
3,5;4,5035576;0,854170449
4;4,5034627;0,835154528
4,5;4,5088444;0,816361508
5;4,5155788;0,797894465
5,5;4,5219282;0,779809164
6;4,5313807;0,761943524
6,5;4,5459051;0,744171447
7;4,563035;0,726575811
7,5;4,5797305;0,709297818
8;4,598334;0,692209433
8,5;4,6194652;0,675261982
9;4,6423059;0,658488955
9,5;4,6654488;0,641967477
10;4,6884355;0,62572547
10,5;4,7105502;0,609810046
11;4,7321214;0,594203543
11,5;4,7522186;0,578969697
12;4,7713084;0,564081233
12,5;4,7887454;0,549584261
13;4,8051947;0,53543525
13,5;4,8198609;0,521690269
14;4,8339498;0,508264665
14,5;4,8468634;0,49519919
15;4,8589378;0,482468006
15,5;4,8702446;0,4700633
16;4,8808395;0,457977913
16,5;4,8905909;0,446218071
17;4,899639;0,43476978
17,5;4,9077319;0,423647693
18;4,9151265;0,412828606
18,5;4,9215713;0,402326758
19;4,927328;0,392118056
19,5;4,9320307;0,382224943
20;4,9360202;0,372617058
20,5;4,9390874;0,363304877
21;4,9413709;0,354272854
21,5;4,9429037;0,345513247
22;4,943782;0,337013584
22,5;4,944031;0,328766675
23;4,9437097;0,320762845
23,5;4,9428744;0,312992677
24;4,9415405;0,305449835
24,5;4,9397797;0,298123924
25;4,9375775;0,291010953
25,5;4,935045;0,284097874
26;4,9322073;0,277378051
26,5;4,9291235;0,270842522
27;4,92583;0,264484111
27,5;4,9224335;0,258290796
28;4,9188875;0,252261634
28,5;4,9153327;0,246382562
29;4,9117337;0,240652144
29,5;4,9082275;0,23505703
30;4,9046977;0,229601677
