maturity;zero rates;ZCB
0;5,282;1
0,125;5,289;0,993410556
0,25;5,291;0,986859599
0,375;5,28;0,980394733
0,5;5,249;0,974096407
0,625;5,199;0,9680285
0,75;5,137;0,962205244
0,875;5,075;0,956565274
1;5,02;0,951039198
1,125;4,98;0,945515498
1,25;4,955;0,939941631
1,375;4,941;0,934317699
1,5;4,935;0,928648477
1,625;4,933;0,922967506
1,75;4,935;0,917261664
1,875;4,938;0,911569445
2;4,941;0,905905756
2,125;4,943;0,900289636
2,25;4,943;0,894744121
2,375;4,942;0,889253884
2,5;4,939;0,883843737
2,625;4,935;0,878496153
2,75;4,929;0,873237683
2,875;4,922;0,868048665
3;4,915;0,862905583
3,125;4,908;0,857807983
3,25;4,901;0,852755422
3,375;4,893;0,847776067
3,5;4,885;0,842842644
3,625;4,877;0,837954689
3,75;4,869;0,833111743
3,875;4,862;0,828281257
4;4,854;0,82352613
4,125;4,848;0,818747128
4,25;4,843;0,813973475
4,375;4,838;0,809237769
4,5;4,833;0,804539673
4,625;4,829;0,799841857
4,75;4,826;0,795141653
4,875;4,823;0,790474999
5;4,821;0,785802335
5,125;4,82;0,781121165
5,25;4,819;0,776469823
5,375;4,819;0,771806622
5,5;4,82;0,767129233
5,625;4,821;0,762478285
5,75;4,823;0,757810064
5,875;4,824;0,753210908
6;4,825;0,748637793
6,125;4,826;0,744090583
6,25;4,827;0,739569144
6,375;4,828;0,735073342
6,5;4,829;0,730603043
6,625;4,829;0,726206224
6,75;4,829;0,721835865
6,875;4,828;0,717541136
7;4,828;0,713223816
7,125;4,827;0,708982986
7,25;4,826;0,704769134
7,375;4,824;0,700633747
7,5;4,822;0,696526109
7,625;4,82;0,692446015
7,75;4,817;0,688446616
7,875;4,814;0,68447545
8;4,81;0,68058674
8,125;4,807;0,676671908
8,25;4,803;0,672840147
8,375;4,798;0,669092809
8,5;4,794;0,665318105
8,625;4,789;0,661628374
8,75;4,784;0,65796733
8,875;4,778;0,654392798
9;4,773;0,650788874
9,125;4,767;0,647271949
9,25;4,761;0,643783686
9,375;4,754;0,640383861
9,5;4,748;0,636952624
9,625;4,741;0,633610257
9,75;4,734;0,630296459
9,875;4,728;0,626949051
10;4,72;0,623753513
10,125;4,713;0,620523843
10,25;4,706;0,617321698
10,375;4,698;0,614210547
10,5;4,691;0,611063132
10,625;4,683;0,608007081
10,75;4,675;0,604978415
10,875;4,668;0,601911412
11;4,66;0,598936318
11,125;4,652;0,595987849
11,25;4,644;0,593065755
11,375;4,636;0,590169792
11,5;4,628;0,587299716
11,625;4,62;0,584455286
11,75;4,612;0,581636265
11,875;4,604;0,578842418
12;4,596;0,576073513
12,125;4,588;0,573329319
12,25;4,581;0,570539714
12,375;4,573;0,567843884
12,5;4,565;0,565172096
12,625;4,558;0,562453115
12,75;4,55;0,559828384
12,875;4,543;0,557155307
13;4,535;0,554576788
13,125;4,528;0,551948795
13,25;4,521;0,549342868
13,375;4,514;0,546758813
13,5;4,507;0,544196437
13,625;4,499;0,541729354
13,75;4,492;0,539210094
13,875;4,485;0,536711942
14;4,478;0,534234713
14,125;4,471;0,531778223
14,25;4,465;0,529266867
14,375;4,458;0,526851002
14,5;4,451;0,524455341
14,625;4,444;0,522079711
14,75;4,437;0,519723936
14,875;4,43;0,517387846
15;4,423;0,51507127
